estado,km,cve_ent,,
AGUASCALIENTES,481.05,1,,
BAJA CALIFORNIA,"1,911.00",2,,
BAJA CALIFORNIA SUR,"1,384.14",3,,
CAMPECHE,"1,427.72",4,,
COAHUILA,"1,987.90",5,,
COLIMA,361.66,6,,
CHIAPAS,"2,472.82",7,,
CHIHUAHUA,"2,614.77",8,,
CIUDAD DE MÉXICO,76.82,9,,
DURANGO,"2,115.06",10,,
GUANAJUATO,"1,142.96",11,,
GUERRERO,"2,027.03",12,,
HIDALGO,"1,043.96",13,,
JALISCO,"2,279.37",14,,
MEXICO,"1,124.22",15,,
MICHOACAN,"2,307.87",16,,
MORELOS,360.62,17,,
NAYARIT,818.47,18,,
NUEVO LEON,"1,591.22",19,,
OAXACA,"3,005.95",20,,
PUEBLA,"1,095.08",21,,
QUERETARO,670.69,22,,
QUINTANA ROO,728,23,,
SAN LUIS POTOSI,"2,037.15",24,,
SINALOA,"1,134.15",25,,
SONORA,"1,637.48",26,,
TABASCO,766.47,27,,
TAMAULIPAS,"2,396.92",28,,
TLAXCALA,814.71,29,,
VERACRUZ,"2,599.01",30,,
YUCATAN,"1,723.95",31,,
ZACATECAS,"2,117.87",32,,