cve_ent,entidad,poblacion,
1,Aguascalientes,1425607,
2,Baja California,3769020,
3,Baja California Sur,798447,
4,Campeche,928363,
5,Coahuila de Zaragoza,3146771,
6,Colima,731391,
7,Chiapas,5543828,
8,Chihuahua,3741869,
9,Ciudad de México,9209944,
10,Durango,1832650,
11,Guanajuato,6166934,
12,Guerrero,3540685,
13,Hidalgo,3082841,
14,Jalisco,8348151,
15,México,16992418,
16,Michoacán de Ocampo,4748846,
17,Morelos,1971520,
18,Nayarit,1235456,
19,Nuevo León,5784442,
20,Oaxaca,4132148,
21,Puebla,6583278,
22,Querétaro,2368467,
23,Quintana Roo,1857985,
24,San Luis Potosí,2822255,
25,Sinaloa,3026943,
26,Sonora,2944840,
27,Tabasco,2402598,
28,Tamaulipas,3527735,
29,Tlaxcala,1342977,
30,Veracruz de Ignacio de la Llave,8062579,
31,Yucatán,2320898,
32,Zacatecas,1622138,