Tipo,Subtipo,Incidentes_reportados
Agravio contra personas,Acoso,1548
Agravio contra personas,Amenazas,1657
Agravio contra personas,Difamación,2500
Agravio contra personas,Suplantación de identidad,731
Fraude y extorsión,Extorsión,1442
Fraude y extorsión,Fraude al comercio electrónico,6250
Fraude y extorsión,Fraude al usuario de la banca electrónica,56
Fraude y extorsión,Fraudes diversos ,287
Fraude y extorsión,Fraude nigeriano,47
Seguridad informática,Intrusión a sistemas,17
Seguridad informática,Hacking (deface),2
Seguridad informática,Malware (virus policía),4
Seguridad informática,Phishing,293
Delitos contra menores,Robo de contraseñas en redes sociales a menores,781
Delitos contra menores,Pornografía infantil,451
Delitos contra menores,Pedofilia,305
Delitos contra menores,Acoso contra menor de edad,232
Delitos contra menores,Amenazas contra menor de edad,181
Delitos contra menores,Difamación contra menor de edad,100
Delitos contra menores,Ciberbullying,26
Delitos contra menores,Corrupción contra menor de edad,26
Delitos contra menores,Suplantación de identidad contra menores de edad,18
Delitos contra menores,Grooming ,12
Delitos contra menores,Sexting,10
Delitos contra menores,Trata de menores de edad,2
Delitos contra menores,Desaparición de menor de edad,1
Delitos contra menores,Otros informativos preventivos,119
ílicitos varios a través de la web,Reporte ciudadano de páginas web,4192